CHDistrictChampionship;CHCMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
116;-0.12;0.02;0.37;0.97;1.21;0.00;0.27;0.69;;0.80;0.57;0.67;;-0.04;0.62;;0.82;0.61;0.13;0.62;0.41;0.12;0.04;0.37;6.63;0.53;6.49;-0.39;24.81;11.08;5.61;1.75;6.37;0.77;2.44;33.88;2.87;44.81;39.37
122;0.08;0.01;2.15;1.89;4.04;0.41;0.37;0.58;;0.77;0.65;0.68;;0.34;0.74;;0.62;0.68;0.37;0.73;-0.14;-0.23;0.10;-0.10;10.40;0.04;9.80;0.55;27.79;10.00;13.76;6.27;-2.25;1.10;-1.67;36.51;2.98;56.59;54.01
339;0.12;0.03;0.83;1.87;2.77;0.28;0.29;0.68;;0.73;0.63;0.66;;-0.17;0.59;;0.81;0.62;-0.29;0.61;-0.32;-0.03;0.08;0.04;11.05;0.35;9.85;0.85;21.20;7.21;11.02;3.00;-0.02;0.60;0.03;32.29;2.43;47.00;45.14
346;-0.02;0.07;-0.41;2.51;1.99;0.07;0.29;0.67;;0.10;0.67;0.54;;0.55;0.71;;-0.03;0.60;0.53;0.71;0.17;0.01;0.16;0.03;11.54;-0.15;11.11;0.58;27.01;6.84;11.74;2.63;5.80;0.91;0.20;38.75;2.48;51.16;46.42
384;0.03;0.45;2.51;0.30;3.19;0.05;0.36;0.65;;0.74;0.64;0.65;;0.73;0.61;;0.49;0.67;0.64;0.61;-0.23;-0.14;0.10;-0.03;9.72;0.02;5.08;4.62;24.04;12.76;6.52;2.96;1.81;0.71;-0.85;32.92;3.06;50.52;41.33
401;0.06;0.06;0.01;1.91;2.05;0.35;0.33;0.66;;0.80;0.69;0.67;;0.24;0.68;;0.77;0.66;0.19;0.67;0.08;0.32;-0.02;-0.05;8.59;0.52;7.22;0.86;27.06;11.12;9.56;5.25;1.14;1.13;1.36;37.02;2.95;50.79;52.30
422;0.07;0.04;2.79;0.59;3.41;0.37;0.34;0.66;;0.89;0.69;0.65;;0.44;0.72;;0.76;0.66;0.40;0.71;-0.07;0.21;0.08;0.22;8.52;0.06;7.74;0.72;24.81;12.10;8.55;6.50;-2.34;1.14;2.14;35.46;3.19;54.10;51.37
449;-0.02;0.04;1.65;-0.23;1.51;0.15;0.27;0.59;;0.58;0.67;0.69;;0.79;0.47;;0.65;0.69;0.68;0.49;-0.17;0.08;-0.07;-0.06;7.10;0.44;6.31;0.35;20.29;12.32;2.13;3.91;1.92;0.91;0.10;27.49;3.10;39.95;36.64
540;0.00;-0.03;0.62;0.90;1.54;-0.17;0.33;0.68;;0.14;0.67;0.67;;0.32;0.62;;0.29;0.68;0.21;0.62;0.14;0.17;-0.06;0.35;6.13;0.78;5.64;-0.28;20.02;9.58;5.74;3.65;1.05;0.80;2.59;28.74;2.48;39.77;31.30
612;0.13;0.00;1.34;0.26;1.64;0.10;0.29;0.69;;0.18;0.68;0.68;;0.04;0.51;;0.24;0.69;0.09;0.51;-0.05;0.22;0.09;-0.09;7.88;0.68;6.57;0.63;18.11;7.78;4.00;2.80;3.52;0.80;0.65;26.63;2.21;37.30;35.10
623;-0.08;-0.06;1.70;-0.30;1.49;-0.08;0.34;0.69;;0.76;0.67;0.67;;0.80;0.64;;0.84;0.67;0.59;0.65;0.33;0.49;-0.22;-0.05;7.60;0.40;8.16;-0.95;22.83;13.13;1.89;0.49;7.33;0.59;2.18;32.62;3.44;45.87;37.34
686;-0.01;0.22;-0.01;2.75;2.86;0.52;0.38;0.68;;0.14;0.71;0.66;;0.83;0.73;;0.24;0.67;0.97;0.75;0.56;0.08;0.09;-0.13;9.03;0.55;6.39;2.09;33.33;13.35;13.76;6.92;-0.70;1.34;-0.26;42.10;3.31;59.32;62.73
836;0.37;0.06;3.43;0.29;4.03;0.35;0.35;0.67;;0.61;0.73;0.67;;0.40;0.70;;0.63;0.68;-0.02;0.69;-0.16;0.18;0.13;0.17;9.10;0.64;5.95;2.52;23.39;10.34;8.33;3.20;1.52;0.74;1.77;34.26;2.66;53.52;50.02
888;0.04;0.01;3.08;-0.52;2.46;0.32;0.36;0.65;;0.50;0.68;0.78;;0.10;0.69;;0.49;0.68;0.17;0.70;0.06;-0.12;0.16;0.22;12.00;-0.22;11.94;0.28;15.54;7.46;3.57;5.16;-0.65;0.99;0.49;28.03;2.69;42.42;43.13
977;-0.06;0.03;-0.37;-0.12;-0.69;-0.28;0.34;0.68;;0.24;0.64;0.66;;0.26;0.68;;0.07;0.65;0.29;0.68;0.17;0.34;0.17;0.04;8.34;0.18;8.20;-0.05;10.02;7.77;-1.33;3.21;0.38;0.67;1.90;20.27;2.37;24.04;20.13
1086;0.25;0.08;0.81;2.26;3.17;0.32;0.35;0.57;;0.75;0.62;0.67;;0.27;0.74;;0.82;0.67;0.38;0.74;0.33;-0.29;0.22;0.12;10.72;0.07;8.60;2.05;28.96;11.64;12.93;6.16;-1.77;1.11;-0.80;38.88;3.19;56.77;54.06
1111;-0.06;-0.08;2.85;-0.16;2.51;0.11;0.26;0.67;;1.00;0.58;0.64;;0.23;0.69;;0.95;0.59;0.20;0.69;0.33;0.02;0.03;0.32;5.75;0.50;6.39;-1.13;22.34;12.33;4.90;3.52;1.59;0.81;1.67;29.76;3.11;45.38;37.83
1137;-0.06;0.02;3.63;-0.01;3.61;0.41;0.35;0.69;;0.56;0.68;0.66;;1.35;0.67;;0.60;0.68;1.01;0.70;-0.04;0.16;-0.03;-0.15;9.22;0.02;9.31;-0.10;25.89;13.75;7.20;5.51;-0.57;1.06;0.03;35.15;3.68;55.64;52.34
1262;0.40;-0.05;2.25;-0.16;2.48;0.20;0.38;0.58;;0.70;0.70;0.72;;1.39;0.65;;0.75;0.68;0.97;0.65;0.22;0.22;-0.04;0.11;11.59;0.08;10.08;1.43;22.24;13.07;3.73;4.39;1.05;0.95;1.66;35.49;3.62;52.31;48.07
1389;0.12;-0.05;2.30;-0.09;2.00;0.07;0.30;0.68;;0.75;0.71;0.74;;0.24;0.39;;0.61;0.70;0.29;0.41;-0.29;0.10;0.29;0.39;6.50;-0.08;6.46;0.12;16.41;10.23;4.17;3.20;-1.19;0.56;2.44;25.35;2.69;38.33;33.22
1413;0.00;-0.12;2.93;0.23;3.04;0.05;0.26;0.68;;0.77;0.62;0.69;;0.48;0.60;;0.78;0.66;0.37;0.60;0.82;0.02;0.00;0.33;6.87;0.36;7.71;-1.20;23.34;11.63;7.01;5.15;-0.45;1.00;1.75;31.96;3.10;49.22;38.31
1418;0.03;-0.07;4.01;0.19;3.95;0.25;0.35;0.66;;0.75;0.73;0.66;;0.79;0.58;;0.72;0.68;0.92;0.58;-0.01;0.35;0.21;0.19;9.91;-0.03;10.49;-0.55;29.30;12.57;8.99;1.99;5.75;0.78;2.69;41.90;3.56;63.16;55.06
1599;0.00;-0.01;1.01;1.45;2.36;-0.05;0.35;0.68;;0.68;0.70;0.66;;0.01;0.71;;0.69;0.67;-0.10;0.71;0.06;0.14;0.08;-0.01;10.23;-0.18;10.52;-0.10;20.22;8.01;9.25;2.94;0.03;0.59;0.64;31.10;2.65;45.12;36.89
1610;-0.06;0.12;4.16;0.16;4.37;0.22;0.26;0.68;;0.89;0.66;0.38;;0.63;0.75;;0.63;0.57;0.40;0.74;0.03;0.12;0.02;0.36;9.61;-0.11;8.78;0.94;23.91;10.75;9.11;3.41;0.64;0.72;2.37;35.89;3.03;57.10;46.55
1629;-0.03;0.02;2.53;0.83;3.28;0.21;0.29;0.68;;0.54;0.79;0.62;;0.18;0.72;;0.55;0.70;0.29;0.71;0.17;-0.02;0.07;0.18;7.76;0.61;7.14;0.00;26.28;11.06;9.21;3.96;2.05;0.93;0.75;34.79;2.93;52.35;45.97
1719;0.02;-0.02;1.99;-0.24;1.86;-0.01;0.12;0.65;;0.68;0.43;0.69;;0.52;0.73;;0.44;0.51;0.47;0.72;0.12;-0.03;-0.11;-0.01;10.40;-0.37;10.91;-0.13;13.47;8.48;2.79;2.23;-0.02;0.44;-0.19;23.68;2.79;36.45;25.73
1731;0.08;-0.02;-0.21;3.37;3.04;0.25;0.35;0.65;;0.45;0.68;0.71;;0.27;0.71;;0.38;0.67;0.28;0.71;0.13;-0.02;0.19;0.13;10.69;-0.31;10.77;0.24;29.22;8.05;16.44;5.07;-0.35;0.99;0.58;40.49;2.69;56.70;53.80
1829;0.02;-0.05;1.68;0.61;2.10;0.18;0.33;0.67;;0.57;0.67;0.62;;0.70;0.69;;0.59;0.65;0.60;0.69;-0.10;0.10;0.15;0.07;7.97;0.23;8.15;-0.41;20.95;11.91;6.38;2.43;0.23;0.50;0.85;29.77;3.20;44.34;40.66
1885;-0.04;-0.06;2.27;-0.35;1.94;0.24;0.28;0.65;;0.42;0.62;0.67;;0.55;0.70;;0.62;0.68;0.45;0.70;0.41;0.03;-0.11;0.07;5.68;0.60;5.86;-0.78;22.07;12.58;2.79;5.30;1.40;1.15;0.53;28.28;3.10;42.09;39.92
1895;0.02;-0.05;1.85;-0.23;1.78;0.00;0.35;0.66;;0.23;0.64;0.80;;1.02;0.67;;0.39;0.68;1.13;0.68;0.10;-0.17;-0.19;0.21;9.41;0.48;9.36;-0.44;17.83;13.02;2.56;3.84;-1.59;0.66;0.24;27.47;3.54;41.88;34.42
2028;0.01;0.00;2.70;0.41;3.08;0.21;0.27;0.68;;0.67;0.70;0.52;;0.25;0.68;;0.61;0.60;0.36;0.68;-0.27;0.28;0.04;-0.02;5.83;0.49;5.32;0.03;25.84;12.00;7.46;2.77;3.62;0.79;1.30;32.98;2.93;49.94;43.74
2068;-0.02;-0.05;4.67;-0.24;4.20;0.14;0.38;0.67;;0.60;0.72;0.69;;0.71;0.75;;0.38;0.67;0.58;0.76;0.32;0.38;0.15;0.08;9.89;-0.29;10.81;-0.63;19.41;9.89;8.13;3.91;-2.53;0.61;2.29;31.59;3.06;52.37;42.64
2363;-0.02;0.00;3.45;-0.11;2.95;0.11;0.28;0.67;;0.72;0.70;0.62;;0.35;0.52;;0.74;0.68;0.26;0.52;0.17;0.09;0.37;-0.05;5.73;1.06;4.72;-0.06;28.28;12.04;6.33;1.06;8.86;0.80;0.22;34.22;2.88;50.65;42.72
2377;-0.03;0.12;3.08;0.30;3.34;0.35;0.35;0.67;;0.91;0.69;0.66;;0.17;0.69;;0.88;0.68;0.06;0.68;-0.06;-0.02;0.12;-0.06;9.02;0.16;7.82;1.04;31.36;10.97;7.64;3.10;9.65;1.26;-0.41;39.97;2.98;57.86;55.66
2421;0.00;0.00;2.03;0.10;2.19;0.04;0.29;0.68;;-0.04;0.53;0.69;;0.41;0.73;;0.12;0.59;0.37;0.72;0.52;0.20;-0.07;-0.03;8.75;0.21;8.58;-0.04;17.58;8.14;4.53;4.07;0.83;0.87;0.84;27.17;2.49;40.23;33.87
2534;0.03;0.15;1.54;-0.14;1.68;0.11;0.37;0.69;;0.68;0.70;0.67;;-0.19;0.60;;0.85;0.69;0.01;0.60;0.04;-0.23;-0.11;-0.15;12.87;0.04;11.18;1.66;21.05;8.65;2.37;2.92;7.10;1.06;-1.88;32.04;2.85;44.42;42.07
2537;-0.05;0.05;2.02;0.35;2.53;0.14;0.19;0.68;;0.61;0.71;0.66;;-0.14;0.64;;0.74;0.67;-0.19;0.63;0.32;-0.07;-0.15;0.15;6.82;0.17;6.43;0.22;19.61;9.50;5.81;3.33;0.96;0.73;0.40;26.83;2.54;41.09;34.17
2849;-0.03;-0.02;1.01;0.17;1.02;-0.15;0.36;0.66;;1.02;0.58;0.69;;1.09;0.70;;0.98;0.68;0.53;0.70;0.30;0.20;0.11;-0.05;11.70;-0.60;12.66;-0.36;18.77;11.39;2.89;3.72;0.78;0.80;0.74;31.21;3.54;43.26;34.80
2912;-0.05;0.00;1.28;0.04;1.23;-0.05;0.26;0.67;;0.80;0.52;0.66;;0.38;0.61;;0.82;0.59;0.18;0.63;0.19;-0.14;0.04;-0.06;11.09;-0.17;11.50;-0.23;16.23;8.76;2.76;2.78;1.93;0.69;-0.95;26.37;2.90;37.47;30.36
3389;0.12;-0.01;2.56;0.70;3.53;0.30;0.38;0.68;;0.79;0.70;0.67;;0.50;0.72;;0.78;0.69;0.52;0.71;0.02;-0.10;-0.16;-0.10;9.12;0.46;8.14;0.52;27.89;12.88;8.62;5.27;1.12;1.13;-0.97;36.04;3.39;55.55;51.04
3455;-0.03;0.03;-0.70;2.47;1.85;0.08;0.33;0.68;;0.88;0.66;0.63;;0.32;0.52;;0.78;0.66;0.04;0.51;0.03;0.36;-0.08;-0.18;9.35;0.06;9.14;0.16;24.77;8.81;10.96;4.87;0.14;0.98;0.90;35.03;2.67;47.49;43.73
3872;-0.01;0.12;1.98;0.50;2.46;0.13;0.37;0.66;;0.24;0.65;0.68;;1.11;0.58;;0.34;0.70;1.18;0.58;-0.05;0.04;0.14;0.04;9.40;0.21;8.06;1.13;23.74;13.28;6.47;5.00;-1.02;0.93;0.43;33.56;3.46;49.89;44.29
3941;-0.10;-0.06;2.47;0.43;2.75;0.12;0.26;0.68;;0.26;0.47;0.69;;-0.07;0.65;;0.32;0.59;-0.09;0.65;0.09;0.27;-0.01;0.27;6.35;0.59;6.88;-1.12;17.81;7.34;7.07;3.75;-0.34;0.73;2.68;26.85;2.16;40.82;35.05
4242;0.05;-0.06;3.94;0.03;3.95;0.31;0.35;0.68;;0.93;0.62;0.64;;0.08;0.68;;0.77;0.68;0.14;0.68;-0.22;-0.12;0.01;-0.07;10.52;-0.01;10.89;-0.36;22.07;9.28;8.04;5.13;-0.38;1.00;-0.96;31.63;2.94;51.34;46.18
4286;0.05;0.20;1.26;-0.46;1.06;0.10;0.35;0.66;;0.17;0.70;0.69;;0.85;0.73;;0.44;0.66;0.65;0.73;0.44;0.11;-0.02;-0.13;11.17;0.45;8.50;2.22;16.50;11.40;0.22;5.40;-0.52;1.04;-0.08;27.58;3.13;38.73;37.02
4456;-0.05;0.00;0.54;0.29;0.60;-0.12;0.35;0.69;;0.82;0.71;0.73;;0.77;0.67;;0.85;0.69;0.91;0.67;0.24;0.21;0.17;0.13;9.99;-0.12;10.36;-0.25;19.82;13.83;2.51;2.67;0.81;0.59;1.70;31.51;3.80;42.90;35.56
4505;-0.01;0.05;1.93;1.79;3.79;0.45;0.36;0.69;;0.03;0.77;0.67;;1.19;0.55;;0.10;0.70;1.08;0.55;0.01;-0.03;-0.02;-0.15;7.50;1.08;6.00;0.42;29.76;12.63;12.84;4.96;-0.67;0.95;-0.91;36.35;3.13;56.00;54.67
4638;-0.04;0.06;0.09;1.78;1.73;-0.02;0.25;0.69;;0.26;0.72;0.67;;0.68;0.62;;0.27;0.66;0.50;0.62;0.20;0.00;0.17;0.15;8.12;0.72;6.97;0.43;20.88;10.22;9.10;3.37;-1.82;0.55;0.75;29.76;2.74;42.02;34.33
4945;-0.03;0.12;0.36;1.07;1.61;0.14;0.36;0.65;;0.86;0.66;0.68;;-0.18;0.71;;0.92;0.69;-0.10;0.71;0.47;-0.17;-0.10;-0.20;7.54;0.31;6.18;1.05;23.28;11.26;6.05;5.52;0.46;1.13;-1.86;28.95;2.87;41.15;39.70
5115;-0.05;-0.06;1.41;-0.02;0.92;-0.09;0.34;0.69;;0.54;0.67;0.66;;1.00;0.68;;0.61;0.66;0.78;0.68;-0.20;0.41;0.36;0.47;7.10;0.45;7.51;-0.86;20.08;13.34;2.72;2.81;1.20;0.64;4.41;31.58;3.42;43.00;36.23
5279;0.03;-0.06;3.98;0.70;4.47;0.36;0.38;0.68;;0.75;0.68;0.68;;-0.13;0.74;;0.81;0.67;0.08;0.74;0.06;0.42;0.17;0.16;10.60;-0.40;11.44;-0.44;26.89;9.17;11.43;4.75;1.55;1.05;2.91;40.39;2.98;61.81;56.95
5338;0.04;-0.03;1.87;0.09;1.70;-0.10;0.27;0.58;;0.59;0.52;0.67;;0.55;0.63;;0.51;0.58;0.57;0.62;0.35;0.23;0.27;0.00;10.36;-0.28;10.75;-0.10;19.33;8.88;4.21;3.00;3.23;0.82;1.19;30.88;2.85;43.33;33.74
5546;-0.05;0.05;1.98;0.46;2.39;0.19;0.35;0.69;;0.19;0.70;0.65;;0.01;0.65;;0.23;0.68;-0.04;0.64;-0.09;-0.03;0.05;0.09;10.12;0.23;9.63;0.27;24.60;6.19;6.26;1.35;10.80;0.99;0.31;35.04;2.20;48.01;46.90
5587;0.02;-0.09;0.00;-0.41;-0.53;-0.24;0.37;0.67;;0.38;0.74;0.69;;0.21;0.66;;0.53;0.70;0.31;0.67;0.07;0.04;0.05;0.08;7.31;0.35;7.74;-0.77;9.40;10.55;-2.06;3.08;-2.17;0.47;0.60;17.31;2.88;22.88;18.57
5804;-0.06;-0.07;4.10;-0.06;3.72;0.02;0.35;0.69;;0.22;0.68;0.64;;0.27;0.65;;0.30;0.69;0.26;0.65;0.01;-0.10;0.18;-0.11;7.66;-0.19;8.82;-0.97;19.42;8.53;7.88;1.94;1.06;0.46;-1.02;26.05;2.59;44.15;33.65
5841;-0.03;0.06;0.74;0.53;1.33;-0.12;0.35;0.68;;0.92;0.62;0.65;;0.81;0.48;;0.96;0.68;0.70;0.50;-0.30;0.06;-0.04;0.23;8.41;0.54;7.41;0.46;22.05;13.89;4.10;3.03;1.04;0.67;1.48;31.94;3.52;44.88;36.04
5957;0.01;-0.02;0.37;-0.21;-0.03;-0.07;0.34;0.58;;0.51;0.70;0.69;;-0.01;0.69;;0.53;0.67;0.04;0.69;-0.24;0.71;0.18;-0.03;6.19;0.34;6.07;-0.22;15.12;9.49;-0.30;3.85;2.08;0.91;3.44;24.75;2.50;30.91;29.86
6194;-0.02;0.09;0.15;0.50;0.47;-0.23;0.29;0.67;;0.38;0.61;0.64;;0.95;0.60;;0.45;0.68;0.86;0.60;0.21;0.23;0.25;-0.07;10.80;-0.16;10.21;0.75;15.80;11.20;2.81;2.48;-0.69;0.45;0.81;27.41;3.26;37.03;27.53
