MIStandishSterling;MISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2
107;0.00;0.13;-0.10;1.43;1.47;0.00;0.11;0.79;0.21;0.72;0.69;0.58;;0.30;0.21;1.49;0.34;0.62;0.18;0.54;0.06;0.12;-0.01;0.09;8.92;0.72;6.90;1.29;20.08;8.38;6.96;0.49;4.25;0.38;1.07;30.06;2.37;40.56;32.16
862;0.00;-0.03;0.13;-0.10;-0.06;0.00;0.11;0.58;-0.34;-0.02;-0.04;1.07;;0.20;0.59;0.45;-0.21;0.69;0.16;0.56;0.29;-0.39;0.07;0.00;4.35;-0.08;4.68;-0.25;10.26;7.04;-0.21;4.63;-1.21;0.85;-1.98;12.63;1.88;17.15;15.00
1502;0.00;-0.04;0.60;0.06;0.65;0.00;0.30;0.73;1.07;0.54;0.54;0.52;;0.55;0.72;0.42;0.77;0.64;0.38;0.69;0.60;0.39;-0.02;-0.04;5.90;1.16;5.12;-0.38;18.67;13.99;1.51;4.26;-1.10;0.78;1.76;26.33;3.31;36.63;32.33
1918;0.01;0.41;-0.10;2.69;2.94;0.08;0.66;0.79;1.22;1.27;1.16;1.11;;-0.17;0.84;1.01;1.26;0.98;-0.26;0.91;-0.19;0.41;0.07;-0.01;10.18;0.40;5.65;4.14;32.86;15.19;13.25;4.50;-0.09;0.89;1.97;45.01;3.60;63.21;60.29
2619;0.00;0.06;0.62;0.31;1.02;-0.01;0.47;0.79;1.26;1.00;1.20;0.73;;-0.19;0.73;0.13;1.12;0.71;-0.08;0.52;0.11;-0.21;-0.03;0.09;2.80;0.99;1.24;0.57;20.16;15.69;2.80;3.01;-1.34;0.51;-0.59;22.38;3.26;33.71;31.40
3537;-0.01;0.04;-0.03;0.31;0.35;0.00;0.02;0.45;0.48;-0.14;0.17;0.24;;0.09;0.65;0.42;0.09;0.27;0.05;0.47;0.18;0.00;-0.03;-0.05;-2.73;0.41;-3.50;0.35;13.53;7.93;1.49;1.29;2.82;0.45;-0.26;10.54;1.24;14.71;10.98
3570;-0.01;0.08;-0.18;1.42;1.35;0.00;0.19;0.31;0.54;0.18;0.72;0.79;;0.59;0.88;1.05;0.15;0.77;0.18;0.61;-0.25;0.74;-0.03;0.08;6.13;0.94;4.43;0.76;19.81;8.33;6.77;3.33;1.37;0.76;4.12;30.06;2.11;39.55;33.96
3602;0.00;-0.01;0.32;1.78;2.03;-0.02;0.35;0.77;0.83;0.89;0.43;0.63;;-0.23;0.72;0.81;1.02;0.62;-0.17;0.60;-0.20;0.28;0.06;-0.02;6.49;0.59;6.00;-0.11;25.27;11.68;9.54;4.05;-0.01;0.81;1.29;33.05;2.94;46.74;39.73
3603;-0.01;0.00;0.04;-0.07;-0.05;-0.01;0.15;0.49;0.43;0.02;0.85;0.68;;0.46;1.13;0.89;0.25;0.68;0.51;0.75;-0.38;0.31;0.01;-0.03;9.81;0.00;9.83;-0.02;13.21;8.61;-0.27;3.46;1.41;0.79;1.40;24.42;2.71;31.03;27.32
3618;-0.01;0.09;0.35;0.83;1.18;0.00;0.48;0.74;0.24;0.41;1.25;0.52;;0.32;0.93;0.37;0.34;0.65;0.27;0.78;0.09;0.98;0.08;0.05;9.12;-0.11;8.40;0.83;20.21;10.16;4.84;4.10;1.11;0.89;5.12;34.46;2.87;45.32;44.07
3770;-0.01;-0.05;0.49;0.32;0.77;-0.01;0.21;0.32;0.63;1.06;0.43;0.68;;-0.20;0.78;0.46;0.91;0.62;-0.17;0.69;-0.34;0.39;-0.02;0.07;6.31;1.35;5.48;-0.51;18.88;9.41;2.55;2.66;4.26;0.82;2.28;27.47;2.43;35.93;31.55
4377;0.00;-0.03;2.43;-0.06;2.37;0.00;0.69;0.80;1.50;1.22;0.63;0.96;;0.12;0.80;0.24;1.30;0.82;0.03;0.69;0.21;0.48;-0.02;0.07;8.88;0.35;8.78;-0.26;23.71;14.09;4.57;5.55;-0.50;1.08;2.74;35.33;3.70;51.98;49.16
4398;0.00;0.05;0.84;-0.07;0.83;0.00;0.04;0.72;0.29;0.10;-0.89;0.61;;0.07;0.46;0.63;0.29;0.59;0.00;0.44;-0.11;0.52;-0.02;0.06;7.96;0.44;7.03;0.49;11.32;7.10;1.32;1.58;1.32;0.40;2.93;22.22;2.12;30.12;23.01
4983;-0.01;-0.03;0.24;-0.15;0.09;-0.01;-0.03;0.76;-0.08;0.23;0.30;0.28;;0.30;0.24;1.35;-0.14;0.38;0.44;0.51;0.44;0.08;-0.03;-0.02;2.46;1.43;1.38;-0.34;11.45;8.39;-0.26;2.65;0.66;0.57;0.32;14.24;1.82;19.05;13.47
5017;0.00;-0.03;0.20;-0.26;-0.16;-0.01;-0.01;0.15;-0.04;-0.03;-0.15;0.44;;0.41;0.71;0.64;0.00;0.31;0.47;0.62;0.13;-0.10;0.07;-0.04;3.33;1.55;2.09;-0.31;4.45;6.93;-0.90;-0.21;-1.38;-0.13;-0.71;7.07;1.60;10.55;6.76
5156;0.00;-0.01;-0.03;0.91;0.89;0.00;0.11;0.55;0.74;0.10;0.94;0.84;;-0.02;0.34;0.34;0.46;0.69;0.02;0.23;0.03;0.09;-0.02;-0.01;5.65;0.72;5.04;-0.11;13.54;7.64;4.50;2.58;-1.18;0.44;0.41;19.60;2.03;27.47;21.76
5166;-0.02;0.04;0.04;0.77;0.85;0.08;0.14;0.37;-0.12;-0.02;0.89;0.39;;0.06;0.62;0.77;0.10;0.45;0.14;0.60;0.27;0.95;-0.02;0.00;7.39;1.03;6.05;0.30;16.32;5.70;3.92;1.84;4.86;0.69;4.77;28.48;1.75;35.51;33.41
5175;-0.01;0.00;-0.42;0.11;-0.31;0.01;0.00;0.38;0.37;0.12;0.94;0.81;;0.18;0.40;0.16;0.35;0.80;0.32;0.43;-0.04;0.24;-0.02;-0.02;0.14;0.40;-0.15;-0.11;15.96;11.79;-0.30;1.99;2.48;0.56;1.07;17.18;2.34;22.07;17.22
5224;0.01;0.04;0.84;0.28;1.10;-0.02;0.28;0.66;0.97;1.03;0.97;0.64;;-0.54;0.45;0.74;1.03;0.67;-0.13;0.68;0.27;-0.14;0.06;-0.01;0.71;1.54;-1.24;0.40;20.45;14.77;3.08;2.87;-0.27;0.56;-0.72;20.44;2.83;30.96;25.66
5226;-0.01;-0.04;0.07;-0.10;-0.22;0.00;0.15;0.79;-0.66;0.20;1.27;0.66;;0.06;0.65;0.52;0.28;0.76;-0.09;0.67;0.39;-0.16;0.14;0.01;6.19;1.12;5.52;-0.45;11.79;8.77;-0.36;1.03;2.35;0.36;-0.72;17.26;2.31;22.33;20.39
5229;-0.01;-0.04;0.32;-0.19;0.01;0.00;0.17;0.81;1.16;0.53;0.98;0.71;;-0.37;0.49;0.68;0.88;0.70;-0.37;0.54;0.17;0.68;0.06;0.08;9.00;0.51;8.99;-0.49;10.45;8.71;-0.30;2.60;-0.57;0.48;3.79;23.24;2.64;29.88;26.83
5247;-0.01;-0.05;0.36;-0.08;0.26;-0.01;0.28;0.59;0.22;-0.21;0.40;0.79;;0.75;0.56;0.09;-0.11;0.64;0.72;0.36;0.53;0.12;-0.03;-0.04;2.52;0.69;2.32;-0.49;10.57;9.57;0.33;1.16;-0.50;0.20;0.40;13.49;2.15;19.67;18.88
5316;-0.01;0.04;-0.11;-0.32;-0.39;-0.01;0.06;0.78;-0.18;0.20;0.31;-0.14;;0.15;0.52;0.58;0.05;-0.08;0.33;0.58;0.08;-0.04;-0.01;-0.01;2.04;-0.46;2.11;0.39;4.20;7.67;-1.82;-0.30;-1.35;-0.15;-0.26;5.98;1.74;9.13;7.03
5447;0.00;-0.07;1.22;-0.09;1.08;-0.01;0.25;0.64;-0.08;0.29;0.41;0.55;;0.36;0.68;-0.39;0.13;0.58;0.21;0.64;-0.32;0.44;-0.02;-0.02;5.60;0.46;5.78;-0.65;13.24;7.70;1.98;4.62;-1.06;0.85;2.10;20.94;2.12;29.62;25.56
5448;-0.01;0.04;-0.22;0.47;0.29;0.08;0.10;0.73;1.10;0.83;0.91;0.15;;0.79;0.52;0.66;0.80;0.31;0.65;0.60;-0.14;0.29;-0.01;-0.01;8.10;0.21;7.54;0.35;16.14;11.07;1.92;3.78;-0.64;0.71;1.40;25.64;2.97;33.98;29.80
5504;0.00;-0.03;-0.01;-0.26;-0.28;0.00;0.29;0.46;0.13;0.40;0.82;0.78;;0.42;0.28;0.26;0.33;0.76;0.22;0.40;0.89;-0.26;-0.01;-0.03;1.36;0.81;0.82;-0.28;11.74;11.03;-1.29;2.48;-0.47;0.46;-1.49;11.61;2.29;16.46;17.25
5525;0.08;-0.03;0.07;-0.36;-0.32;0.00;-0.12;0.49;0.28;0.03;0.58;0.51;;0.56;0.69;-0.25;-0.12;0.54;0.39;0.53;0.53;-0.04;0.08;0.05;6.93;0.97;5.89;0.07;10.43;7.61;-1.64;1.88;2.58;0.55;0.09;17.44;2.11;21.73;14.95
5534;0.00;-0.03;-0.44;0.20;-0.25;0.00;0.12;0.56;0.35;0.62;0.58;0.51;;0.46;0.73;0.28;0.37;0.42;0.27;0.42;0.37;-0.32;-0.02;-0.01;4.86;1.00;4.16;-0.30;13.99;8.64;0.14;3.57;1.64;0.82;-1.68;17.17;2.14;21.75;19.56
5547;-0.01;0.01;0.34;0.18;0.54;-0.02;-0.04;0.42;-0.16;-0.07;0.35;0.35;;0.15;0.33;0.61;-0.22;0.41;0.14;0.43;0.04;0.33;-0.02;-0.03;2.81;0.10;2.64;0.07;10.78;4.96;1.55;2.71;1.56;0.65;1.47;15.06;1.26;19.88;13.76
5560;-0.01;-0.02;0.85;0.47;1.30;0.00;0.19;0.46;-0.72;0.75;0.57;0.64;;-0.16;0.87;0.45;0.18;0.68;0.03;0.76;-0.21;0.02;-0.01;-0.02;9.10;-0.01;9.34;-0.24;14.87;5.21;4.02;5.68;-0.05;1.13;0.04;24.01;1.98;33.01;27.78
5562;0.00;0.00;0.07;0.01;0.09;-0.01;0.18;0.81;0.50;0.17;0.80;0.85;;0.59;0.69;0.64;0.34;0.91;0.47;0.65;0.34;-0.11;-0.02;-0.01;5.36;0.39;5.01;-0.05;16.86;13.63;0.18;4.46;-1.40;0.80;-0.59;21.63;3.23;29.98;25.03
5575;-0.01;0.01;0.28;-0.50;-0.28;-0.01;0.29;0.47;0.46;0.68;0.17;0.53;;0.17;0.61;0.45;0.49;0.43;0.08;0.39;0.40;-0.11;0.07;-0.04;-0.51;-0.08;-0.51;0.08;7.73;10.18;-1.93;0.54;-1.06;0.04;-0.71;6.51;1.99;10.60;12.21
5661;-0.01;0.12;0.07;-0.17;0.03;0.00;0.12;0.29;0.29;0.00;-0.18;0.33;;-0.12;0.64;0.17;0.26;0.29;0.16;0.61;0.51;-0.31;-0.02;-0.04;3.63;0.79;1.68;1.17;9.68;7.62;-0.71;3.47;-0.70;0.65;-1.73;11.59;1.69;15.91;13.91
5703;-0.01;-0.04;-0.39;0.12;-0.30;0.00;0.14;0.70;-0.16;-0.01;0.31;0.87;;0.66;0.49;0.51;-0.08;0.68;0.44;0.59;0.28;0.09;-0.01;0.16;3.77;-0.47;4.68;-0.43;13.77;9.62;-0.16;2.32;1.99;0.60;1.25;18.79;2.39;23.83;21.70
5712;0.00;-0.03;1.63;-0.32;1.21;-0.02;0.21;0.78;0.38;0.16;0.16;0.36;;0.37;0.74;0.06;0.17;0.47;0.22;0.51;0.70;0.10;0.07;-0.02;0.90;1.31;-0.04;-0.37;18.07;12.16;1.67;3.49;0.74;0.75;0.42;19.39;2.43;29.23;23.24
6071;0.00;-0.02;0.39;-0.30;0.08;0.00;-0.17;0.46;0.45;0.37;0.33;-0.09;;-0.36;0.75;-0.06;0.22;0.02;-0.29;0.62;0.13;0.05;-0.01;-0.01;-2.31;0.78;-2.93;-0.16;7.67;7.24;-0.74;2.59;-1.42;0.42;0.18;5.55;1.15;8.68;1.95
6074;0.00;-0.01;-0.28;0.15;-0.10;0.00;-0.24;0.77;-0.09;-0.32;0.45;0.33;;0.03;0.04;0.90;-0.24;0.38;0.09;0.43;0.05;0.36;-0.03;-0.02;1.02;0.00;1.07;-0.04;9.84;6.91;0.18;1.07;1.67;0.33;1.70;12.56;1.49;15.96;7.75
6098;-0.01;-0.01;1.27;0.05;1.28;-0.01;0.11;0.74;-0.44;0.68;0.64;0.89;;0.58;0.37;0.52;0.26;0.95;0.29;0.47;0.36;0.11;0.02;0.01;8.01;0.59;7.59;-0.16;17.15;10.18;2.80;3.32;0.86;0.72;0.61;25.78;2.79;36.76;27.74
6121;0.08;0.08;0.19;0.13;0.51;-0.01;0.35;0.68;0.01;1.58;0.47;0.61;;0.75;0.67;0.30;0.53;0.63;0.63;0.60;-0.15;0.42;-0.03;-0.01;7.81;0.48;6.15;1.18;17.98;11.75;1.04;5.32;-0.13;1.06;2.02;27.81;2.96;36.83;34.67
6193;0.08;-0.01;0.85;0.05;0.99;-0.01;0.61;0.91;1.08;1.55;1.05;0.84;;-0.29;0.59;-0.23;1.47;0.89;-0.26;0.64;0.55;-0.13;-0.01;0.07;7.24;0.46;6.47;0.31;19.84;15.27;1.95;4.13;-1.52;0.72;-0.31;26.77;3.70;39.11;38.74
